 290.91668  80.94291   -4814.84 779769.50  3373724.40  4152656.40  2.389 -69128154.43933  81.03561 3378539.24  1   -5.36   41.73   14.90   11.37   11.37  42.230  156.176 .065533   110     22  126.0   47   20  520191 1 4  500608 53248 
 290.90001  80.93639   -4815.54 779607.08  3373724.26  4152497.97  2.384 -69128154.33933  81.02916 3378539.81  1   -4.77   49.53   14.89   16.22   13.83  42.529  129.640 .053992   110     22  126.0   37   22  520081 3 1  500608 53248 
 290.88335  80.92986   -4808.20 779436.65  3373732.18  4152339.55  2.378 -69128154.23933  81.02270 3378540.38  1   -2.14   84.63   14.91   36.75   35.76  41.930  176.911 .074700   110     22  126.0   43   31  519966 4 4  500608 53248 
 290.86671  80.92333   -4797.46 779262.83  3373743.49  4152181.14  2.373 -69128154.13932  81.01623 3378540.94  1   -2.14   84.63   14.87   32.89   31.77  43.128  185.925 .076291   110     22  126.0   48   31  519850 2 2  500608 53248 
 290.85008  80.91680   -4782.11 779084.43  3373759.40  4152022.75  2.367 -69128154.03932  81.00976 3378541.51  1   -5.06   45.63   14.90   13.97   11.09  42.230  133.371 .055865   110     22  126.0   39   21  519733 3 3  500608 53248 
 290.83347  80.91027   -4766.28 778905.56  3373775.81  4151864.38  2.361 -69128153.93932  81.00329 3378542.08  1   -4.48   53.43   14.93   18.26   16.17  41.331  132.142 .056528   110     22  126.0   37   23  519614 1 4  500608 53248 
 290.81688  80.90373   -4746.70 778722.97  3373795.96  4151706.02  2.356 -69128153.83932  80.99682 3378542.65  2   -7.12  106.26   14.90   44.07   35.94  42.230  141.879 .059374   110     20   79.2   35   20  519493 2 1  500608 53248 
 290.80032  80.89719   -4732.32 778545.60  3373810.91  4151547.68  2.350 -69128153.73931  80.99035 3378543.22  1   -3.89   61.23   14.89   22.90   21.27  42.529  138.260 .057426   110     22  126.0   37   25  519372 4 1  500608 53248 
 290.78379  80.89066   -4720.77 778371.10  3373823.02  4151389.35  2.345 -69128153.63931  80.98388 3378543.80  1   -2.72   76.83   14.89   37.50   36.53  42.529  158.319 .065728   110     22  126.0   36   29  519256 1 3  487296 53248 
 290.76729  80.88413   -4708.22 778195.63  3373836.15  4151231.03  2.339 -69128153.53931  80.97741 3378544.37  1   -2.72   76.83   14.89   29.73   28.49  42.529  169.253 .070235   110     22  126.0   44   29  519138 3 1  487296 53248 
 290.75080  80.87759   -4696.83 778021.33  3373848.11  4151072.73  2.333 -69128153.43931  80.97094 3378544.94  1   -5.07   45.63   14.91   16.68   14.35  41.930  105.093 .044214   110     22  126.0   29   21  519024 1 2  487296 53248 
 290.73434  80.87106   -4681.60 777843.24  3373863.91  4150914.45  2.328 -69128153.33930  80.96447 3378545.51  1   -3.31   69.03   14.91   25.09   23.61  41.930  159.760 .067182   110     22  126.0   43   27  518904 2 3  487296 53248 
 290.71790  80.86452   -4670.46 777669.25  3373875.62  4150756.18  2.322 -69128153.23930  80.95800 3378546.08  1   -4.48   53.43   14.89   18.26   16.17  42.529  132.142 .054761   110     22  126.0   37   23  518788 4 2  487296 53248 
